job_id,title,created,keyword,skills
5370473744,Head of Data Science & AI,2025-08-27T13:54:20,data science,CloudZero
5377378366,Manager Data Science,2025-09-01T05:09:31,data science,AWS
5377378366,Manager Data Science,2025-09-01T05:09:31,data science,Python
5377378366,Manager Data Science,2025-09-01T05:09:31,data science,Docker
5377378366,Manager Data Science,2025-09-01T05:09:31,data science,statistical modeling
5377378366,Manager Data Science,2025-09-01T05:09:31,data science,relational database
5377612498,Manager Data Science,2025-09-01T08:00:59,data science,There are no relevant technical tools
5377612498,Manager Data Science,2025-09-01T08:00:59,data science,programming languages
5377612498,Manager Data Science,2025-09-01T08:00:59,data science,or software in the provided list.
5377612540,Manager Data Science,2025-09-01T08:00:59,data science,There are no relevant technical tools
5377612540,Manager Data Science,2025-09-01T08:00:59,data science,programming languages
5377612540,Manager Data Science,2025-09-01T08:00:59,data science,or software in the provided list.
5377378647,Manager Data Science,2025-09-01T05:09:33,data science,There are no specific technical tools
5377378647,Manager Data Science,2025-09-01T05:09:33,data science,programming languages
5377378647,Manager Data Science,2025-09-01T05:09:33,data science,or software mentioned in the provided list. The terms included are more related to job titles
5377378647,Manager Data Science,2025-09-01T05:09:33,data science,industries
5377378647,Manager Data Science,2025-09-01T05:09:33,data science,and vague concepts rather than specific technologies or programming languages.
5371979061,"Data Science Manager, Journeyman (USCG)",2025-08-28T14:02:19,data science,The provided text does not contain any specific names of technical tools
5371979061,"Data Science Manager, Journeyman (USCG)",2025-08-28T14:02:19,data science,programming languages
5371979061,"Data Science Manager, Journeyman (USCG)",2025-08-28T14:02:19,data science,or software relevant to jobs. It primarily describes a job role and responsibilities without mentioning any specific technologies or programming languages. Therefore
5371979061,"Data Science Manager, Journeyman (USCG)",2025-08-28T14:02:19,data science,there are no relevant names to extract.
5377610458,"Senior Manager, Data Science",2025-09-01T08:00:47,data science,There are no relevant technical tools
5377610458,"Senior Manager, Data Science",2025-09-01T08:00:47,data science,programming languages
5377610458,"Senior Manager, Data Science",2025-09-01T08:00:47,data science,or software mentioned in the provided list.
5377612981,"Senior Manager, Data Science",2025-09-01T08:01:02,data science,There are no specific technical tools
5377612981,"Senior Manager, Data Science",2025-09-01T08:01:02,data science,programming languages
5377612981,"Senior Manager, Data Science",2025-09-01T08:01:02,data science,or software mentioned in the provided list.
5379074621,NCU Instructor - Data Science (2025-0088),2025-09-01T23:22:16,data science,There are no relevant technical tools
5379074621,NCU Instructor - Data Science (2025-0088),2025-09-01T23:22:16,data science,programming languages
5379074621,NCU Instructor - Data Science (2025-0088),2025-09-01T23:22:16,data science,or software mentioned in the provided text.
5377609347,"Director, Data Science - Model Risk",2025-09-01T08:00:40,data science,There are no relevant technical tools
5377609347,"Director, Data Science - Model Risk",2025-09-01T08:00:40,data science,programming languages
5377609347,"Director, Data Science - Model Risk",2025-09-01T08:00:40,data science,or software in the provided list.
5377605291,"Director, Data Science - Model Risk",2025-09-01T08:00:13,data science,There are no relevant technical tools
5377605291,"Director, Data Science - Model Risk",2025-09-01T08:00:13,data science,programming languages
5377605291,"Director, Data Science - Model Risk",2025-09-01T08:00:13,data science,or software in the provided list.
5377612708,"Director, Data Science - Model Risk",2025-09-01T08:01:00,data science,There are no relevant technical tools
5377612708,"Director, Data Science - Model Risk",2025-09-01T08:01:00,data science,programming languages
5377612708,"Director, Data Science - Model Risk",2025-09-01T08:01:00,data science,or software in the provided list.
5377380579,"Manager, Data Science - Financial Services",2025-09-01T05:09:46,data science,There are no relevant technical tools
5377380579,"Manager, Data Science - Financial Services",2025-09-01T05:09:46,data science,programming languages
5377380579,"Manager, Data Science - Financial Services",2025-09-01T05:09:46,data science,or software in the provided list.
5377378836,"Senior Manager, Data Science",2025-09-01T05:09:34,data science,There are no relevant technical tools
5377378836,"Senior Manager, Data Science",2025-09-01T05:09:34,data science,programming languages
5377378836,"Senior Manager, Data Science",2025-09-01T05:09:34,data science,or software mentioned in the provided list.
5374402291,Data Science Analyst,2025-08-29T17:41:25,data science,AWS
5374402291,Data Science Analyst,2025-08-29T17:41:25,data science,Python
5374402291,Data Science Analyst,2025-08-29T17:41:25,data science,Docker
5374402291,Data Science Analyst,2025-08-29T17:41:25,data science,AI
5374402291,Data Science Analyst,2025-08-29T17:41:25,data science,analytics
5374453640,Data Science Analyst,2025-08-29T17:53:26,data science,AWS
5374453640,Data Science Analyst,2025-08-29T17:53:26,data science,Python
5374453640,Data Science Analyst,2025-08-29T17:53:26,data science,Docker
5374453640,Data Science Analyst,2025-08-29T17:53:26,data science,AI
5374453640,Data Science Analyst,2025-08-29T17:53:26,data science,analytics
5374453640,Data Science Analyst,2025-08-29T17:53:26,data science,intelligent automation
